42.0,3.08,17.75,1.79,17.75,1.48
33.5,4.27,22.5,2.06,14.5,2.87
41.67,1.25,15.33,0.94,13.0,4.64
40.75,7.05,15.5,1.8,16.25,1.48
28.75,1.79,15.67,0.94,8.0,5.74
31.0,4.06,17.33,1.7,12.0,2.12
34.75,6.72,15.75,4.92,14.5,1.8
36.75,3.27,19.0,2.45,14.0,2.35
36.25,0.43,20.5,0.87,11.0,6.44
42.5,3.5,17.0,1.87,14.25,1.92
25.0,6.16,15.5,0.5,18.75,0.83
28.5,6.69,11.33,2.36,17.25,3.27
22.0,6.48,11.33,0.94,11.0,5.0
41.33,5.91,19.75,3.27,14.67,2.05
34.75,2.95,17.0,2.12,18.75,3.9
31.67,4.5,16.33,0.94,14.0,4.42
45.0,2.12,13.0,1.22,16.5,4.5
29.5,9.29,11.5,2.5,15.5,2.5
30.75,3.11,16.75,3.42,15.0,2.12
37.0,5.34,17.33,0.47,18.75,3.11
36.0,6.28,13.33,3.09,21.33,1.25
29.75,3.7,13.25,2.17,14.25,5.54
34.5,3.35,12.0,3.67,14.0,2.45
38.33,8.18,11.5,2.5,17.67,4.19
32.25,0.83,15.75,3.96,12.75,5.36
29.33,0.94,17.0,2.94,14.75,1.79
