41.67,0.47,4.75,0.43,4.5,0.5
41.25,0.83,6.0,0.71,5.25,0.43
41.5,0.5,6.5,0.5,4.0,0.82
41.5,0.5,5.0,0.71,2.67,1.25
41.33,0.47,6.67,0.47,3.0,0.71
41.5,0.5,5.67,0.47,2.33,0.47
41.5,0.5,6.0,0.0,2.25,0.83
41.5,0.5,6.75,0.83,2.33,0.47
41.5,0.5,7.33,0.94,2.25,0.43
41.5,0.5,5.0,1.41,2.0,0.82
41.25,0.83,4.25,1.09,2.5,0.87
41.5,0.5,3.33,0.94,2.0,0.82
41.33,0.94,2.33,0.47,1.0,0.0
41.5,0.5,4.5,2.06,7.25,1.92
41.33,0.47,5.0,2.16,7.75,1.09
41.5,0.5,6.0,0.71,8.75,1.09
41.5,0.5,6.67,0.94,10.0,0.71
41.5,0.5,6.33,0.94,9.0,0.0
41.5,0.5,4.67,0.47,9.0,0.0
41.5,0.5,5.33,0.94,7.5,0.5
41.5,0.5,5.0,2.0,8.0,0.82
41.5,0.5,6.25,0.43,8.75,0.43
41.25,0.83,5.75,1.09,8.5,0.5
41.5,0.5,6.0,0.82,7.5,0.5
41.67,0.47,6.25,0.43,8.67,0.47
41.0,0.82,7.0,0.0,8.5,0.5
41.5,0.5,7.0,0.71,8.25,0.43
41.5,0.5,6.5,1.12,8.0,0.71
41.5,0.5,6.75,0.43,6.75,0.83
41.5,0.5,6.25,0.83,8.5,0.87
41.5,0.5,6.75,0.43,8.75,0.43
41.5,0.5,6.75,0.83,9.0,0.0
41.5,0.5,6.5,0.5,8.67,0.47
41.5,0.5,6.25,1.3,8.5,0.5
41.67,0.47,5.5,1.12,9.0,0.0
41.5,0.5,6.75,0.43,5.5,0.87
41.33,0.47,8.0,0.82,3.0,1.0
41.5,0.5,8.5,1.5,1.75,1.3
41.33,0.47,6.0,0.0,4.33,1.25
41.5,0.5,6.25,0.83,4.33,1.25
41.67,0.47,5.33,0.94,5.0,1.0
41.33,0.47,5.5,1.5,6.75,0.83
41.5,0.5,5.75,0.83,8.5,0.87
41.5,0.5,5.75,0.43,9.5,0.5
41.5,0.5,5.33,0.94,9.0,0.0
41.67,0.47,5.75,0.83,9.0,1.0
41.67,0.47,10.0,1.41,5.5,2.5
41.5,0.5,10.25,0.43,4.33,1.89
