0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,label
27.0,44.0,36.42451882845188,36.25,3.9914139570764693,33.25,39.29,0.0,10.43,2.8734309623430963,2.49,1.8655451662376334,1.41,4.045,6.0,27.67,15.100460251046027,15.25,3.2017725194445847,12.875,17.33,0.0,8.1,2.8503765690376572,2.68,1.5921718506925562,1.745,3.63,9.67,23.33,16.76581589958159,16.67,2.9158643268655893,15.0,19.125,0.0,9.18,3.209665271966527,2.68,1.8820536490510953,1.79,4.255000000000001,r
27.0,45.0,36.87694560669456,36.25,4.12436665384496,33.5,40.65,0.0,9.49,2.456903765690377,1.79,1.776202999587058,1.22,3.67,5.67,25.0,16.275690376569035,16.25,3.656298043475412,14.0,18.5,0.0,10.61,3.0621757322175736,2.77,1.7226563285029575,1.83,4.025,11.0,24.67,17.511087866108785,17.75,3.02477259174023,15.25,20.0,0.0,8.99,3.1672803347280336,2.86,1.8200073093139462,1.9049999999999998,4.105,r
36.25,45.5,43.3402510460251,43.75,1.6119537507925836,42.25,44.5,0.0,1.22,0.33539748953974896,0.47,0.2831436464614494,0.0,0.5,0.0,22.0,10.957322175732216,12.0,3.725738258686091,9.0,13.0,0.0,4.72,0.6493723849372385,0.47,0.7271938867881821,0.0,0.83,0.0,20.25,14.959037656903766,15.5,3.411390755268388,14.5,17.0,0.0,4.0,0.7120502092050209,0.71,0.5252798189772248,0.43,0.87,r
22.67,45.75,34.34389121338912,35.0,4.588096436702862,31.415,37.5,0.0,15.37,4.5411715481171555,4.06,2.5669103751025157,2.69,6.01,5.5,24.0,15.166066945606694,15.25,3.104171700321889,13.0,17.5,0.0,9.18,3.1481589958159,3.0,1.6467620252760944,2.085,4.03,7.33,23.0,15.990585774058577,16.0,2.886853654963293,13.875,18.25,0.47,8.84,3.416192468619247,3.11,1.707474466935643,2.17,4.37,r
36.0,45.0,41.9134309623431,41.67,2.641678377400538,39.5,44.75,0.0,2.17,0.44493723849372374,0.47,0.38998800918098375,0.0,0.5,5.75,21.0,13.301380753138075,13.33,2.0693964982629502,12.0,14.415,0.0,5.56,0.48364016736401677,0.43,0.6508725012117085,0.0,0.5,2.0,19.67,15.036150627615061,15.25,2.815638395436219,13.0,17.75,0.0,3.74,0.6457322175732217,0.5,0.5721235941497929,0.43,0.85,r
15.5,43.67,34.108284518828455,34.75,4.341671345227481,31.0,37.25,0.0,17.24,4.405188284518829,4.09,2.56991054231318,2.49,6.08,9.25,23.0,15.516987447698746,15.5,2.7683973088243032,13.71,17.33,0.0,8.84,3.3763598326359836,3.08,1.7203699683381002,2.12,4.495,6.67,24.0,16.042928870292887,16.0,2.9557864839356687,14.415,18.0,0.43,9.12,3.582970711297071,3.3,1.7961078260137888,2.29,4.73,r
24.0,30.0,28.07192468619247,28.0,1.497457389363537,27.0,29.5,0.0,1.48,0.4176150627615063,0.43,0.3579924215535952,0.0,0.5,0.0,13.0,4.957698744769874,4.5,3.5095548056803514,2.415,6.875,0.0,5.02,0.8523849372384937,0.71,0.8567412869199991,0.0,1.3,0.0,17.0,6.47397489539749,5.5,4.232515256242451,3.33,10.0,0.0,3.3,0.8044351464435147,0.82,0.6024400620305469,0.47,1.09,r
29.25,44.25,37.05389121338913,36.5,3.4179281903173693,34.5,40.25,0.0,8.64,2.4380753138075315,1.87,1.811111960128121,1.22,3.33,8.0,23.5,15.528493723849374,15.33,3.0478936505056042,13.5,17.835,0.0,8.06,2.7692050209205017,2.59,1.527709535277032,1.54,3.77,2.0,21.25,16.147573221757323,16.5,2.685395603665776,14.33,18.0,0.0,8.34,2.901966527196653,2.55,1.6127073845303002,1.68,3.77,r
31.0,44.67,37.120585774058576,36.25,3.708769483804359,33.79,40.5,0.0,7.79,2.4575732217573227,1.9,1.6216595821220665,1.3,3.65,0.0,24.75,14.802677824267784,15.0,3.271401600137183,12.75,17.0,0.0,8.15,2.791171548117155,2.49,1.6212823951740716,1.665,3.88,0.0,23.0,16.97297071129707,17.0,2.785826364429774,15.125,18.75,0.0,7.93,2.72928870292887,2.55,1.593374648110603,1.49,3.71,r
41.33,54.0,51.644016736401674,54.0,4.78694168429012,54.0,54.0,0.0,8.49,0.18581589958158998,0.0,0.6753462103097599,0.0,0.0,5.5,15.0,12.44092050209205,12.5,1.4081428819571078,12.0,13.33,0.0,3.5,0.5908368200836822,0.47,0.5612255221440059,0.41500000000000004,0.83,7.25,21.0,17.172050209205022,17.75,2.624831243392987,14.67,18.875,0.0,3.56,0.64418410041841,0.5,0.45410737957350567,0.43,0.83,r
