0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,label
29.75,44.33,36.73031914893617,36.0,3.962473826005658,33.082499999999996,40.25,0.43,9.12,2.9309574468085104,2.31,1.9518929709932267,1.3,4.5,7.0,25.25,17.727340425531917,17.125,3.7115281539688,15.0625,20.4375,0.0,9.39,3.432234042553192,3.145,2.157918727607153,1.67,4.629999999999999,7.67,23.75,17.223191489361703,17.0,3.2388575620152804,15.25,20.0,0.0,8.93,3.3974468085106384,2.99,1.7859474977955476,2.16,4.4725,r
29.67,43.75,36.81127659574468,36.71,3.6039557818473393,33.75,39.75,0.0,10.47,2.78531914893617,2.4000000000000004,1.9676341899984562,1.3,3.8899999999999997,7.33,19.25,13.94127659574468,13.835,2.5558931414730837,12.25,15.9375,0.0,7.04,2.6402127659574464,2.495,1.5197396344092688,1.5,3.33,11.25,21.75,17.138510638297873,17.415,2.0326437879527277,16.0,18.4575,0.43,8.38,2.489893617021277,2.0549999999999997,1.548891726351077,1.41,3.2775,r
42.0,54.0,49.57446808510638,54.0,5.5879204620653224,42.25,54.0,0.0,8.49,0.22287234042553192,0.0,0.9096916910553315,0.0,0.0,3.33,15.0,11.456489361702126,12.875,3.0726016811951826,8.5625,14.0,0.0,2.05,0.6044680851063828,0.5,0.38919441757226175,0.43,0.83,8.5,21.0,16.79968085106383,19.25,4.237440252917878,12.0,20.5,0.0,5.72,0.5896808510638297,0.47,0.8027391977656102,0.43,0.5,r
40.5,44.0,42.66468085106383,42.5,0.6528163998303351,42.0,43.25,0.0,2.6,0.4151063829787234,0.47,0.39204658676664766,0.0,0.5,10.33,15.0,12.523085106382979,12.25,0.9508977383546839,12.0,13.0,0.0,1.41,0.41234042553191486,0.43,0.4009703969227892,0.0,0.5,11.5,18.33,14.987021276595744,14.875,1.51952300791579,14.0,15.9375,0.0,2.18,0.7364893617021278,0.82,0.353175174929786,0.47,0.9225,r
30.5,44.0,37.13595744680851,36.5,3.841920532040433,33.75,40.0,0.0,5.91,2.475744680851064,1.9699999999999998,1.5355931146241442,1.22,3.8499999999999996,7.0,21.0,14.586489361702128,15.0,2.893137860987842,13.0,16.33,0.0,6.8,2.7703191489361703,2.49,1.6640909896336538,1.5,3.9,9.0,22.0,16.88585106382979,17.0,2.666134655092439,14.575,19.0,0.0,6.76,2.6634042553191493,2.3150000000000004,1.6489035478429974,1.3275000000000001,3.86,r
22.75,43.0,34.96882978723404,35.875,4.2784508442460885,32.8125,38.0,0.83,10.62,4.426276595744681,3.8,2.570207716823369,2.45,6.26,8.0,21.67,15.137659574468085,15.0,2.962523780779074,13.5,17.2475,0.0,7.41,3.195106382978724,3.22,1.4145258293485854,2.29,4.2325,6.5,22.75,16.088404255319148,15.875,2.9692283140669677,13.8125,18.5,0.0,8.86,3.1053191489361707,2.975,1.666265350905844,1.81,4.075,r
26.25,44.25,37.03351063829787,36.5,3.581783573082234,34.3125,40.565,0.0,8.17,2.5754255319148935,2.0300000000000002,1.8263664290345882,1.3,3.4975,8.0,21.5,15.984361702127657,16.0,2.873573160104766,14.25,17.9375,0.0,8.0,2.807978723404256,2.525,1.6547875020563196,1.5925,3.77,10.0,21.25,16.067872340425534,16.5,2.549767382322926,14.0,18.25,0.0,7.53,2.754148936170213,2.6,1.4739125093119954,1.63,3.475,r
37.25,47.33,43.144361702127654,43.67,2.0367365624336546,42.75,44.457499999999996,0.0,1.8,0.5804255319148935,0.5,0.3572563156055279,0.47,0.83,0.0,21.0,10.51691489361702,11.375,4.726487710626203,6.625,14.33,0.0,3.5,0.8945744680851064,0.605,0.7951420579018178,0.43,1.22,0.0,18.33,13.146170212765957,15.0,5.240821594127086,12.5625,16.5,0.0,3.77,0.8594680851063828,0.83,0.700531851748779,0.43,1.195,r
23.75,28.33,26.65244680851064,27.0,0.9841482165781767,26.3125,27.0,0.0,1.58,0.39999999999999997,0.0,0.5029996045232418,0.0,0.83,0.0,13.25,7.366489361702128,6.875,3.575934108341125,5.0,10.5,0.0,3.42,1.0540425531914894,0.97,0.742919725542311,0.47,1.495,0.0,13.0,7.058085106382978,6.375,3.5438489119823644,4.33,10.0,0.0,4.5,0.8356382978723402,0.7649999999999999,0.7074740141291689,0.44,0.94,r
23.0,42.25,34.14808510638298,34.0,4.517303952960406,31.0,37.375,0.0,11.45,4.3473404255319155,3.88,2.457870909902726,2.5125,5.9675,7.67,23.0,15.635531914893619,15.5,2.8835221954510177,14.0,17.6275,0.94,8.5,3.3553191489361693,2.975,1.6582739453099693,2.12,4.4350000000000005,7.67,23.0,16.635531914893615,16.67,2.916808396072768,15.25,18.6875,0.43,8.34,3.274468085106383,3.085,1.6128680238665987,2.12,4.1425,r
42.5,45.0,44.337096774193554,44.5,0.5239805436255977,44.33,44.5,0.0,0.83,0.47505376344086014,0.5,0.14827723487582878,0.47,0.5,16.5,20.5,18.566021505376344,18.5,0.788445277780412,18.0,19.25,0.0,1.22,0.43720430107526875,0.47,0.3005226085374763,0.43,0.5,1.0,11.75,7.353870967741936,7.75,3.1030948899789035,5.25,10.0,0.0,2.62,0.9265591397849461,0.83,0.5914490213315384,0.47,1.25,r
29.75,46.67,44.584946236559134,45.5,2.8741957754776775,45.0,46.25,0.0,4.6,0.614516129032258,0.5,0.6258012535750925,0.43,0.5,7.5,20.25,17.496666666666666,18.25,2.401118549729495,17.0,19.0,0.0,6.52,0.7401075268817202,0.47,0.9855449768304709,0.43,0.83,4.5,21.25,14.521075268817205,14.5,2.5669870946837703,13.5,15.75,0.0,4.5,1.009032258064516,0.83,0.7964746570876498,0.47,1.12,r
44.75,48.0,47.39829787234043,47.5,0.7254344464694634,47.5,47.75,0.0,0.83,0.3824468085106382,0.47,0.1989741765825257,0.43,0.5,11.0,18.0,16.22159574468085,16.5,1.4775694246677142,15.3725,17.31,0.0,3.27,0.5053191489361701,0.43,0.5201854551997954,0.0,0.83,4.5,20.5,14.582872340425531,15.125,2.862062051708326,13.0,16.25,0.0,5.46,0.8647872340425531,0.5,0.9382295483657908,0.43,1.0675000000000001,r
36.33,46.67,44.4981914893617,45.0,2.165856736674372,44.542500000000004,45.75,0.0,1.66,0.41787234042553195,0.44999999999999996,0.43834456997026955,0.0,0.5,1.5,21.25,16.668617021276596,17.5,3.2252870510122955,16.3725,18.25,0.0,4.11,0.7264893617021279,0.5,0.7991779478681378,0.43,0.83,7.5,19.75,14.496382978723403,15.0,2.613680654063842,12.8125,15.73,0.0,4.5,0.779255319148936,0.71,0.6379102969966961,0.43,1.0,r
23.5,29.75,26.83244680851064,27.0,0.957381830963238,26.5,27.0,0.0,1.79,0.3174468085106383,0.0,0.4246894783888824,0.0,0.5,0.0,12.67,6.290957446808511,6.875,3.377329246146937,4.0,8.1875,0.0,2.29,0.6672340425531914,0.5,0.5754351401757399,0.43,0.86,7.0,21.0,11.393723404255322,9.375,3.633599768481783,8.75,12.5,0.0,1.79,0.5110638297872341,0.47,0.45102861670436206,0.0,0.86,r
37.5,44.67,42.054148936170215,42.0,1.675991383439798,41.5,43.31,0.0,1.79,0.4589361702127659,0.47,0.369077513451731,0.1075,0.5,8.67,16.0,13.471808510638299,13.67,1.589340136806601,12.0,15.0,0.0,1.0,0.2825531914893617,0.0,0.324852112490753,0.0,0.47,2.0,18.25,13.586063829787234,13.5,2.5530097010227673,12.75,14.95,0.0,3.74,0.7686170212765957,0.83,0.5004441061328176,0.47,0.995,r
29.67,43.0,36.79095744680851,36.29,3.3572905964046944,34.5,39.6275,0.0,6.47,2.2655319148936175,1.67,1.589115272229442,1.24,3.3874999999999997,8.5,26.5,15.105319148936172,15.0,3.0101868988263725,13.25,16.67,0.0,7.05,2.683510638297872,2.325,1.5017922679301028,1.5325,3.57,5.33,22.25,15.701595744680853,15.8,3.252413265542091,13.5425,17.9375,0.47,6.87,3.166914893617021,2.74,1.6691830637188667,1.79,4.41,r
24.25,43.67,34.12765957446808,35.125,4.470630425230134,30.8125,37.1875,0.0,9.62,4.410851063829788,4.470000000000001,2.3201829087956996,2.49,6.114999999999999,9.5,22.5,15.76904255319149,15.5,2.4961307990391233,14.0625,17.0,0.43,9.2,3.4644680851063825,3.255,1.8788927287280832,2.12,4.7299999999999995,9.67,22.25,16.113829787234042,16.0,2.954595147705539,14.25,18.25,0.82,9.42,3.657340425531915,3.365,1.8809447269018917,2.215,5.02,r
29.33,44.0,37.21191489361702,36.125,3.9985409372779492,33.75,40.6275,0.0,7.15,2.5250000000000004,2.05,1.61709533170681,1.3,3.67,9.33,23.75,15.411170212765954,15.0,3.0990695295863735,13.0,17.4575,0.0,7.46,2.8089361702127666,2.49,1.7429504512325764,1.4324999999999999,3.8674999999999997,10.0,21.0,16.66659574468085,17.0,2.7659393602351128,15.0,19.0,0.47,8.22,2.8863829787234043,2.49,1.609276101910508,1.94,3.7,r
42.0,44.2,42.29414893617021,42.33,0.38119339932248075,42.0,42.5,0.0,0.75,0.27180851063829786,0.47,0.24866076890274896,0.0,0.5,10.0,15.75,13.365425531914893,13.25,1.0945177804925008,12.5,14.1875,0.0,1.41,0.492659574468085,0.47,0.37133347483225876,0.1075,0.74,12.5,18.0,15.685319148936172,15.75,1.399999771219382,14.67,16.75,0.0,1.48,0.7701063829787231,0.83,0.37345954475916504,0.47,1.0,r
42.0,42.67,42.25648936170212,42.25,0.19939536262987137,42.0,42.5,0.0,0.5,0.32414893617021273,0.43,0.2140867554750266,0.0,0.4975,0.0,8.67,4.434148936170213,4.75,2.121122856207977,3.3125,5.73,0.0,4.32,1.0358510638297873,0.7649999999999999,1.0273835748334532,0.43,1.5,0.0,13.5,9.876808510638298,11.0,3.250636401799036,9.33,12.0,0.0,3.09,0.7920212765957448,0.5,0.7012056894359011,0.43,1.12,r
18.33,42.67,34.009680851063834,34.75,4.910095689698417,30.27,37.730000000000004,0.0,11.07,4.404255319148935,4.17,2.512619970649538,2.55,5.9975,9.5,23.5,15.733191489361703,16.0,2.9987295563596352,13.5625,17.9375,0.0,9.18,3.1943617021276594,3.035,1.6630297254603759,1.875,4.172499999999999,8.0,22.5,15.727765957446811,16.0,3.012519809154634,13.3125,17.75,0.47,8.22,3.3644680851063833,2.9050000000000002,1.793284735933415,2.05,4.49,r
28.33,43.5,36.61606382978723,35.875,3.989045272923126,33.542500000000004,40.2375,0.0,7.85,2.6279787234042558,1.955,1.8848254132020072,1.2625,4.12,5.67,19.33,13.272872340425533,13.165,3.0234359227916046,11.0,15.0,0.0,6.61,2.6018085106382975,2.525,1.4539430723247726,1.5,3.5425,10.67,23.0,16.940212765957448,17.0,2.79098008712298,15.0625,19.1875,0.0,8.99,2.738510638297873,2.49,1.6700382826381577,1.5,3.66,r
