36.0,2.45,17.25,3.49,20.33,1.7
35.5,3.5,17.0,4.24,11.67,5.31
34.25,5.21,15.25,4.09,17.25,3.27
37.0,2.92,16.5,2.69,13.33,5.79
42.75,0.83,17.25,1.48,14.0,6.36
36.75,2.49,22.75,2.17,19.0,5.96
34.25,2.17,18.75,2.28,13.25,4.92
33.5,5.59,13.25,2.59,17.25,2.86
38.25,2.28,17.0,4.06,14.25,2.49
42.75,0.83,21.0,2.16,17.33,4.03
37.5,2.69,20.0,4.69,18.0,2.55
33.33,1.89,19.75,1.3,17.67,2.05
33.25,7.36,16.75,4.09,15.75,3.56
36.0,0.0,13.0,3.56,18.0,3.08
40.25,1.92,20.5,0.87,17.33,0.47
38.5,3.35,20.0,2.24,18.5,2.06
36.25,0.43,17.75,2.95,16.75,5.07
36.0,3.67,18.0,2.55,15.25,3.63
36.0,5.2,12.0,1.63,3.0,0.0
42.0,1.22,18.25,0.43,17.75,2.17
39.5,5.68,18.33,2.49,18.33,2.05
34.25,2.38,18.75,2.49,19.75,1.3
33.0,3.67,19.75,2.95,16.0,2.74
32.75,4.32,15.25,4.09,15.0,3.0
37.33,1.25,18.75,5.36,15.33,2.36
