44.75,0.43,24.0,0.0,29.5,0.5
42.75,1.48,23.25,1.3,27.5,1.5
37.25,2.86,10.25,5.02,26.25,0.83
36.0,0.0,15.25,2.05,26.75,0.43
35.75,1.09,17.33,0.47,26.33,0.94
36.0,0.0,11.0,4.24,26.33,0.47
40.67,1.25,19.75,4.02,26.33,0.47
43.5,0.87,24.75,0.83,26.75,0.43
44.75,0.43,24.0,0.0,29.25,0.43
45.0,0.0,22.0,0.71,29.5,0.5
45.0,0.0,23.33,0.47,29.5,0.5
43.75,1.09,24.0,0.0,28.0,1.41
41.25,1.48,18.75,3.77,26.67,0.47
36.75,1.3,14.75,1.48,26.5,0.87
36.0,0.0,18.0,0.0,26.75,0.43
35.0,1.41,15.75,2.49,26.67,0.47
39.75,1.92,18.25,3.34,27.0,0.0
42.25,0.43,24.33,0.47,27.33,0.47
44.75,0.43,24.25,0.43,29.75,0.43
45.0,0.0,23.25,0.43,30.0,0.0
45.0,0.0,22.75,0.43,30.0,0.0
44.33,0.47,24.0,0.0,29.67,0.47
42.25,0.43,22.75,1.3,28.75,0.83
38.6,1.5,18.0,0.71,26.0,1.41
36.33,0.47,21.0,0.0,24.0,0.0
34.67,1.25,20.25,0.43,24.0,0.0
34.67,1.25,18.33,0.47,22.33,1.25
36.75,0.83,15.75,1.48,22.75,1.09
40.75,1.3,21.5,2.29,26.25,1.3
43.33,0.47,24.0,0.0,30.33,0.47
45.0,0.0,21.33,0.47,31.5,0.5
45.0,0.0,20.25,0.43,31.5,0.5
44.75,0.43,21.25,1.09,31.0,0.0
43.25,1.09,23.67,0.47,30.0,0.0
