0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,label
27.0,44.0,36.42451882845188,0.0,10.43,2.8734309623430963,6.0,27.67,15.100460251046027,0.0,8.1,2.8503765690376572,23.33,0.0,16.76581589958159,0.0,9.18,3.209665271966527,r
27.0,45.0,36.87694560669456,0.0,9.49,2.456903765690377,5.67,25.0,16.275690376569035,0.0,10.61,3.0621757322175736,24.67,0.0,17.511087866108785,0.0,8.99,3.1672803347280336,r
15.0,45.33,33.6635,0.0,12.53,4.5592500000000005,7.25,23.25,15.490416666666667,0.0,8.52,3.1488333333333336,23.75,0.0,16.226958333333336,0.0,8.99,3.2862083333333336,r
18.67,45.0,33.810875,0.43,13.05,4.4026250000000005,5.75,23.75,15.540916666666668,0.0,9.1,3.378416666666667,25.0,0.0,16.337083333333336,0.0,8.46,3.37625,r
36.25,45.5,43.3402510460251,0.0,1.22,0.33539748953974896,0.0,22.0,10.957322175732216,0.0,4.72,0.6493723849372385,20.25,0.0,14.959037656903766,0.0,4.0,0.7120502092050209,r
22.67,45.75,34.34389121338912,0.0,15.37,4.5411715481171555,5.5,24.0,15.166066945606694,0.0,9.18,3.1481589958159,23.0,0.0,15.990585774058577,0.47,8.84,3.416192468619247,r
36.0,45.0,41.9134309623431,0.0,2.17,0.44493723849372374,5.75,21.0,13.301380753138075,0.0,5.56,0.48364016736401677,19.67,0.0,15.036150627615061,0.0,3.74,0.6457322175732217,r
15.5,43.67,34.108284518828455,0.0,17.24,4.405188284518829,9.25,23.0,15.516987447698746,0.0,8.84,3.3763598326359836,24.0,0.0,16.042928870292887,0.43,9.12,3.582970711297071,r
48.0,48.25,48.00732217573222,0.0,0.43,0.012594142259414225,0.0,9.75,3.7737238493723853,0.0,2.12,0.34887029288702925,12.0,0.0,10.1336820083682,0.0,1.3,0.6114644351464434,r
48.0,48.33,48.00485355648536,0.0,0.83,0.009205020920502092,2.33,11.0,6.434560669456068,0.0,3.2,0.45422594142259415,10.0,0.0,2.1569037656903767,0.0,3.77,0.5266945606694561,r
24.0,30.0,28.07192468619247,0.0,1.48,0.4176150627615063,0.0,13.0,4.957698744769874,0.0,5.02,0.8523849372384937,17.0,0.0,6.47397489539749,0.0,3.3,0.8044351464435147,r
29.25,44.25,37.05389121338913,0.0,8.64,2.4380753138075315,8.0,23.5,15.528493723849374,0.0,8.06,2.7692050209205017,21.25,0.0,16.147573221757323,0.0,8.34,2.901966527196653,r
31.0,44.67,37.120585774058576,0.0,7.79,2.4575732217573227,0.0,24.75,14.802677824267784,0.0,8.15,2.791171548117155,23.0,0.0,16.97297071129707,0.0,7.93,2.72928870292887,r
41.33,54.0,51.644016736401674,0.0,8.49,0.18581589958158998,5.5,15.0,12.44092050209205,0.0,3.5,0.5908368200836822,21.0,0.0,17.172050209205022,0.0,3.56,0.64418410041841,r
